"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"84","20","nInfected","0.645","1","random","0.8","7.03288727020652","5.51552240395166","100","94.7118749513959","0","6.27420483707909","0","0",1.5
"85","25","Infectiousness","0.645","1","random","0.8","10.189371699033","8.60098488224091","100","93.7517114437716","0","9.39517829063695","0","0",1.5
"86","25","nInfected","0.645","1","random","0.8","4.67911018466893","3.17531084340478","100","86.7796873784898","0","3.92721051403686","0","0",1.5
"87","30","Infectiousness","0.645","1","random","0.8","10.373634996565","8.78004893066538","100","93.0148640681217","0","9.57684196361518","0","0",1.5
"88","30","nInfected","0.645","1","random","0.8","5.24954284319502","3.74338040122525","100","88.1017186406408","0","4.49646162221013","0","0",1.5
"89","1","Infectiousness","0.645","3","random","1","69.8681652047656","68.5584105123304","100","98.9787177490752","91.6682536696742","69.213287858548","42.1126517376114","0",1.5
"90","1","nInfected","0.645","3","random","1","58.480858073744","57.1602609261954","100","97.4209600097093","83.2362400631106","57.8205594999697","8.44408034468111","0",1.5
"91","2","Infectiousness","0.645","3","random","1","58.088115876341","56.6738709720882","100","98.727653458898","83.6123224685852","57.3809934242146","13.9986196395455","0",1.5
"92","2","nInfected","0.645","3","random","1","50.1102436868601","48.7307053998563","100","97.4209600097093","72.9200801019479","49.4204745433582","0","0",1.5
"93","3","Infectiousness","0.645","3","random","1","51.9624697680413","50.4960562017678","100","97.7230813944291","76.7628218060522","51.2292629849045","1.59298530930576","0",1.5
"94","3","nInfected","0.645","3","random","1","45.7682754902975","44.3767575820977","100","96.131440014564","61.3144001456399","45.0725165361976","0","0",1.5
"95","4","Infectiousness","0.645","3","random","1","43.5251386511887","41.9999537565894","100","98.0181901591029","61.2644240428581","42.762546203889","0","0",1.5
"96","4","nInfected","0.645","3","random","1","40.3060756186822","38.8825887420193","100","96.131440014564","41.9716002184599","39.5943321803507","0","0",1.5
"97","5","Infectiousness","0.645","3","random","1","35.0361710238097","33.4825537570204","100","96.8897745318777","35.9627476741725","34.259362390415","0","0",1.5
"98","5","nInfected","0.645","3","random","1","33.1165059631401","31.678081087045","100","96.131440014564","14.8916803204078","32.3972935250925","0","0",1.5
"99","7","Infectiousness","0.645","3","random","1","31.0959313591859","29.5106474656377","100","97.1679184127014","21.177515226453","30.3032894124118","0","0",1.5
"100","7","nInfected","0.645","3","random","1","29.4923496693202","28.0323787729397","100","96.131440014564","0","28.7623642211299","0","0",1.5
"101","10","Infectiousness","0.645","3","random","1","24.5609224234088","22.9944288503779","100","96.1642117113266","5.81409111644722","23.7776756368933","0","0",1.5
"102","10","nInfected","0.645","3","random","1","21.0123043773301","19.554477587595","100","94.8419200194187","0","20.2833909824625","0","0",1.5
"103","15","Infectiousness","0.645","3","random","1","12.2607462098035","10.6843307880194","100","94.953166544345","0","11.4725384989114","0","0",1.5
"104","15","nInfected","0.645","3","random","1","10.9747640277325","9.52405264803665","100","93.5524000242733","0","10.2494083378846","0","0",1.5
"105","20","Infectiousness","0.645","3","random","1","11.9002443510705","10.3247907465353","100","95.2435015925358","0","11.1125175488029","0","0",1.5
"106","20","nInfected","0.645","3","random","1","9.79518247816629","8.34001990061883","100","93.5524000242733","0","9.06760118939256","0","0",1.5
"107","25","Infectiousness","0.645","3","random","1","7.59548909331475","6.02547731297339","100","89.1644254778839","0","6.81048320314407","0","0",1.5
"108","25","nInfected","0.645","3","random","1","6.31538742892751","4.87764612893402","100","79.3676800776746","0","5.59651677893076","0","0",1.5
"109","30","Infectiousness","0.645","3","random","1","9.33305404132931","7.75709402196981","100","93.0499661710555","0","8.54507403164956","0","0",1.5
"110","30","nInfected","0.645","3","random","1","8.0269469677598","6.57648770667431","100","88.394320043692","0","7.30171733721706","0","0",1.5
"111","1","Infectiousness","0.645","5","random","1","34.1639441801442","32.4773278649081","100","96.5864536497613","40.6731922450631","33.3206360225261","0","0",1.5
"112","1","nInfected","0.645","5","random","1","38.2831786006941","36.7712660637288","100","97.3602586946479","37.9660793242262","37.5272223322114","0","0",1.5
"113","2","Infectiousness","0.645","5","random","1","28.7956366710203","27.0585369431816","100","96.7734129738914","33.5001056794479","27.9270868071009","0","0",1.5
"114","2","nInfected","0.645","5","random","1","36.6847488314749","35.1624101469452","100","96.0403880419719","30.04685540817","35.9235794892101","0","0",1.5
"115","3","Infectiousness","0.645","5","random","1","22.1805829925167","20.3765313883033","100","97.3232438115711","18.7855571525063","21.27855719041","0","0",1.5
"116","3","nInfected","0.645","5","random","1","32.999197547618","31.4467867459212","100","97.3602586946479","15.5282782287336","32.2229921467696","0","0",1.5
"117","4","Infectiousness","0.645","5","random","1","19.8036208042103","18.0100555067375","100","96.514549935801","6.35766311131878","18.9068381554739","0","0",1.5
"118","4","nInfected","0.645","5","random","1","30.2163327609815","28.6663967315283","100","96.0403880419719","6.28918366000132","29.4413647462549","0","0",1.5
"119","5","Infectiousness","0.645","5","random","1","13.2274133992365","11.4308340249403","100","95.5160244550436","0","12.3291237120884","0","0",1.5
"120","5","nInfected","0.645","5","random","1","24.1238874614513","22.5665368769635","100","94.7205173892958","0","23.3452121692074","0","0",1.5
"121","7","Infectiousness","0.645","5","random","1","7.18324012468679","5.43309529734111","100","91.6210201239968","0","6.30816771101395","0","0",1.5
"122","7","nInfected","0.645","5","random","1","15.5716888414559","14.039609251331","100","88.1211641259157","0","14.8056490463935","0","0",1.5
"123","10","Infectiousness","0.645","5","random","1","6.76841363154436","5.02814226835316","100","94.7534103068205","0","5.89827794994876","0","0",1.5
"124","10","nInfected","0.645","5","random","1","12.4743615801835","10.9203457384992","100","93.4006467366198","0","11.6973536593414","0","0",1.5
"125","15","Infectiousness","0.645","5","random","1","3.87185966271452","2.14212985355664","100","93.5720700272305","0","3.00699475813558","0","0",1.5
"126","15","nInfected","0.645","5","random","1","8.4535908233322","6.89650486729011","100","92.0807760839438","0","7.67504784531116","0","0",1.5
"127","20","Infectiousness","0.645","5","random","1","2.79156350726066","1.08802206769","100","88.5230503255958","0","1.93979278747533","0","0",1.5
"128","20","nInfected","0.645","5","random","1","5.53438164156116","3.99178479412815","100","82.1817461888735","0","4.76308321784465","0","0",1.5
"129","25","Infectiousness","0.645","5","random","1","3.0016141138512","1.29588656660227","100","93.5935591019988","0","2.14875034022674","0","0",1.5
"130","25","nInfected","0.645","5","random","1","5.67878232064899","4.12455695210229","100","89.4410347785917","0","4.90166963637564","0","0",1.5
"131","30","Infectiousness","0.645","5","random","1","0.248475086505249","0","100","82.2826813490373","0","0","0","0",1.5
"132","30","nInfected","0.645","5","random","1","3.17661524765222","1.63761295798363","100","67.6631690094371","0","2.40711410281793","0","0",1.5
"133","1","Infectiousness","0.645","0","perfect","1","99.9582150453466","98.8986348801808","100","100","100","99.4284249627637","99.9987602818281","67.6111504026628",1.5
"134","1","nInfected","0.645","0","perfect","1","72.4379317510107","71.2483540042406","100","98.7095849164815","94.8383396659259","71.8431428776256","48.3833966592587","0",1.5
"135","2","Infectiousness","0.645","0","perfect","1","98.2988548013241","97.2376116093058","100","99.9740554267877","99.5271022139727","97.768233205315","97.6405605144896","67.2800418316856",1.5
"136","2","nInfected","0.645","0","perfect","1","71.6835565904359","70.4972449007104","100","98.7095849164815","93.5479245824073","71.0904007455732","47.0929815757402","0",1.5
"137","3","Infectiousness","0.645","0","perfect","1","95.4280695564849","94.3579459210946","100","99.9238205935161","98.9851624183332","94.8930077387897","93.3684673116808","45.7852850526728",1.5
"138","3","nInfected","0.645","0","perfect","1","72.3885672931457","71.205955611722","100","98.7095849164815","93.5479245824073","71.7972614524339","47.0929815757402","0",1.5
"139","4","Infectiousness","0.645","0","perfect","1","92.0525543888612","90.9678610778904","100","99.763254276239","98.155292149959","91.5102077333758","87.0405394170794","26.1762201758201",1.5
"140","4","nInfected","0.645","0","perfect","1","67.8532336194447","66.6395615630056","100","97.4191698329629","90.9670944153703","67.2463975912252","34.1888307405549","0",1.5
"141","5","Infectiousness","0.645","0","perfect","1","88.7376023861775","87.6343727572761","100","99.6265717606736","97.3987624779029","88.1859875717268","81.7987881099705","17.2358257732795",1.5
"142","5","nInfected","0.645","0","perfect","1","66.6593690044473","65.4389893008075","100","97.4191698329629","90.9670944153703","66.0491791526274","31.6080005735178","0",1.5
"143","7","Infectiousness","0.645","0","perfect","1","80.3917912027029","79.2303055777472","100","99.2560118500167","94.0357018243021","79.8110483902251","64.9391603764762","0",1.5
"144","7","nInfected","0.645","0","perfect","1","58.9899741724677","57.7209011590972","100","97.4191698329629","84.5150189977776","58.3554376657825","16.1230195712954","0",1.5
"145","10","Infectiousness","0.645","0","perfect","1","73.851332014551","72.6467859396418","100","98.650325649843","89.2175843504666","73.2490589770964","49.7854785535298","0",1.5
"146","10","nInfected","0.645","0","perfect","1","53.1314225653052","51.8280727390177","100","96.1287547494444","72.9012832461108","52.4797476521614","3.21886873611011","0",1.5
"147","15","Infectiousness","0.645","0","perfect","1","51.1989374752949","49.85051348762","100","97.8657828945923","54.7196372047152","50.5247254814574","8.35776600191396","0",1.5
"148","15","nInfected","0.645","0","perfect","1","36.4895225342255","35.1199118338295","100","96.1287547494444","22.5750949888881","35.8047171840275","0","0",1.5
"149","20","Infectiousness","0.645","0","perfect","1","55.6580622390768","54.3367133498299","100","97.5101467192684","62.7793232442029","54.9973877944534","17.4659056921858","0",1.5
"150","20","nInfected","0.645","0","perfect","1","36.3046107338204","34.934904643626","100","96.1287547494444","21.2846799053696","35.6197576887232","0","0",1.5
"151","25","Infectiousness","0.645","0","perfect","1","52.6838661336565","51.3419367355987","100","98.0206178445527","57.4291535041788","52.0129014346276","15.3011637965401","0",1.5
"152","25","nInfected","0.645","0","perfect","1","36.2791401058627","34.9288317917644","100","96.1287547494444","23.2203025306474","35.6039859488135","0","0",1.5
"153","30","Infectiousness","0.645","0","perfect","1","40.1460205009189","38.7558919670882","100","95.9425190244531","34.016003639858","39.4509562340036","0","0",1.5
"154","30","nInfected","0.645","0","perfect","1","26.1191272860037","24.7519028953713","100","92.2575094988888","0","25.4355150906875","0","0",1.5
